Feature set,Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
All features,77,Gradient boosting,0.907272235739389,0.7322515212981744,0.6311188811188811,0.6779342723004694,0.9411084598164867,0.7738973469747151,0.06497059008702574
All features,77,XGBoost,0.9094349824276832,0.7453416149068323,0.6293706293706294,0.6824644549763034,0.9428273597205481,0.7824775833653215,0.06402009962945966
All features,77,LightGBM,0.8680724520140578,0.5459518599562363,0.8723776223776224,0.6716016150740243,0.9434599618481934,0.777465501169055,0.0994555612037319
All features,87,Logistic regression,0.8653690186536902,0.548051948051948,0.7377622377622378,0.6289120715350224,0.9038556582528441,0.6668584071589048,0.11375875376032825
All features,87,Random forest,0.9010543390105434,0.6677524429967426,0.7167832167832168,0.6913996627318718,0.9365072088129331,0.7581371577607188,0.07259746291801832
All features,87,Gradient boosting,0.9078129224114626,0.7769784172661871,0.5664335664335665,0.6552072800808898,0.9372533047381144,0.7660016642459222,0.06721399234083746
All features,87,XGBoost,0.9053798323871317,0.7630331753554502,0.5629370629370629,0.647887323943662,0.936322991047967,0.761462509485891,0.0672779615352575
All features,87,LightGBM,0.8742903487429035,0.5619930475086906,0.8479020979020979,0.6759581881533101,0.9369715270338871,0.7617002706291527,0.09505574001667323
All features,97,Logistic regression,0.8526628818599622,0.5157526254375729,0.7727272727272727,0.6186144156752974,0.9105624148796518,0.6584170904710365,0.12029846766669301
All features,97,Random forest,0.8980805623141389,0.6457399103139013,0.7552447552447552,0.6962127316680097,0.9377332772759699,0.7585294714749434,0.07410970728719384
All features,97,Gradient boosting,0.903757772370911,0.737885462555066,0.5856643356643356,0.6530214424951267,0.9354337699396861,0.751833011682542,0.06815511799770159
All features,97,XGBoost,0.9067315490673155,0.7483588621444202,0.5979020979020979,0.6647230320699709,0.9390700441228104,0.7655870730249474,0.06603906641872875
All features,97,LightGBM,0.8640173019735063,0.5376226826608506,0.8618881118881119,0.6621893888515782,0.9385939851641804,0.7608331363393374,0.10066102547843399
Without PageValues,7,Logistic regression,0.6377399297107327,0.2596996245306633,0.7255244755244755,0.3824884792626728,0.7521178054436768,0.32510412763814023,0.20917222423419593
Without PageValues,7,Random forest,0.8185996215193295,0.4057142857142857,0.3723776223776224,0.38833181403828626,0.7877157220777304,0.38793490520640617,0.12892599472443766
Without PageValues,7,Gradient boosting,0.8461746417950797,0.5211267605633803,0.06468531468531469,0.1150855365474339,0.7788956326692176,0.3675298814251659,0.1134529533403755
Without PageValues,7,XGBoost,0.8496891051635577,0.7,0.04895104895104895,0.0915032679738562,0.7822109933558605,0.38328852319234874,0.11295398582710696
Without PageValues,7,LightGBM,0.6820762368207623,0.2945578231292517,0.756993006993007,0.4240940254652302,0.7856926811595824,0.377162019678706,0.18975708220668902
Without PageValues,17,Logistic regression,0.6369288997026223,0.25860989355040703,0.722027972027972,0.3808206546795758,0.7442403295457339,0.3197796893254164,0.21094106764645187
Without PageValues,17,Random forest,0.8242768315761017,0.42641509433962266,0.3951048951048951,0.4101633393829401,0.7776824231093499,0.3832127570670819,0.13128257883380492
Without PageValues,17,Gradient boosting,0.8426601784266018,0.4479166666666667,0.07517482517482517,0.12874251497005987,0.7787793434579492,0.3660183759523086,0.11362822370333048
