Curve,x,y,Model
ROC,0.059801726894787334,0.6206293706293706,Logistic regression
ROC,0.059801726894787334,0.6223776223776224,Logistic regression
ROC,0.060121522225775506,0.6223776223776224,Logistic regression
ROC,0.060121522225775506,0.6258741258741258,Logistic regression
ROC,0.06044131755676367,0.6258741258741258,Logistic regression
ROC,0.06044131755676367,0.6276223776223776,Logistic regression
ROC,0.06267988487368084,0.6276223776223776,Logistic regression
ROC,0.06267988487368084,0.6293706293706294,Logistic regression
ROC,0.06363927086664535,0.6293706293706294,Logistic regression
ROC,0.06363927086664535,0.6311188811188811,Logistic regression
ROC,0.06395906619763352,0.6311188811188811,Logistic regression
ROC,0.06395906619763352,0.6398601398601399,Logistic regression
ROC,0.06459865685960985,0.6398601398601399,Logistic regression
ROC,0.06459865685960985,0.6416083916083916,Logistic regression
ROC,0.06491845219059801,0.6416083916083916,Logistic regression
ROC,0.06491845219059801,0.6433566433566433,Logistic regression
ROC,0.06651742884553885,0.6433566433566433,Logistic regression
ROC,0.06651742884553885,0.6451048951048951,Logistic regression
ROC,0.06811640550047969,0.6451048951048951,Logistic regression
ROC,0.06811640550047969,0.6468531468531469,Logistic regression
ROC,0.0700351774864087,0.6468531468531469,Logistic regression
ROC,0.0700351774864087,0.6486013986013986,Logistic regression
ROC,0.07035497281739686,0.6486013986013986,Logistic regression
ROC,0.07035497281739686,0.6503496503496503,Logistic regression
ROC,0.07067476814838504,0.6503496503496503,Logistic regression
ROC,0.07067476814838504,0.6520979020979021,Logistic regression
ROC,0.07131435881036137,0.6520979020979021,Logistic regression
ROC,0.07131435881036137,0.6555944055944056,Logistic regression
ROC,0.07515190278221938,0.6555944055944056,Logistic regression
ROC,0.07515190278221938,0.6573426573426573,Logistic regression
ROC,0.07611128877518389,0.6573426573426573,Logistic regression
ROC,0.07611128877518389,0.6590909090909091,Logistic regression
ROC,0.0780300607611129,0.6590909090909091,Logistic regression
ROC,0.0780300607611129,0.6643356643356644,Logistic regression
ROC,0.07834985609210106,0.6643356643356644,Logistic regression
ROC,0.07834985609210106,0.666083916083916,Logistic regression
ROC,0.07962903741605372,0.666083916083916,Logistic regression
ROC,0.07962903741605372,0.6695804195804196,Logistic regression
ROC,0.0799488327470419,0.6695804195804196,Logistic regression
ROC,0.0799488327470419,0.6713286713286714,Logistic regression
ROC,0.08026862807803006,0.6713286713286714,Logistic regression
ROC,0.08026862807803006,0.6730769230769231,Logistic regression
ROC,0.08122801407099456,0.6730769230769231,Logistic regression
ROC,0.08122801407099456,0.6748251748251748,Logistic regression
ROC,0.0818676047329709,0.6748251748251748,Logistic regression
ROC,0.0818676047329709,0.6765734265734266,Logistic regression
ROC,0.08314678605692356,0.6765734265734266,Logistic regression
ROC,0.08314678605692356,0.6783216783216783,Logistic regression
ROC,0.08570514870482891,0.6783216783216783,Logistic regression
